Title	Url	DatasetType	Agency	AgencyContact	AgencyContactEmail	AgencyContactPhone	Description	Format	UpdateFrequency	Cost	CostInformation	SubmissionSource	Licence	LicenceURL	Date listed	Date last updated	DatasetLastUpdated	DatasetCreation	Guid
1893 Women’s Suffrage Petition	http://archives.govt.nz/has/open-data/1893-womens-suffrage-petition	dataset	Department of Internal Affairs	Webmaster	webmaster-archives@dia.govt.nz	04 499 5595	When Governor Glasgow signed the Electoral Bill on 19 September 1893, New Zealand became the first self-governing nation in the world where women had won the right to vote. The Bill was the outcome of years of meetings in towns and cities across the country, with women often travelling considerable distances to hear lectures and speeches, pass resolutions and sign petitions. A number of petitions were presented to both Houses of Parliament from the early 1880s till 1893. Only two of these historically important documents are known to have survived and both are preserved at Archives New Zealand.The 1893 Women's Suffrage Petition [Archives Ref:Le1 1893/7a] and this dataset contains the signatories given names/title, surname, given address, city/region and a notes field which for example may name a witness for those who signed as X because they were illiterate.	Spreadsheet	Other-Unknown	No		Manual	Other licensing (check with source agency)		2015-03-27 11:31:25	2015-03-27 00:00:00	2015-03-27 00:00:00	2015-03-24 00:00:00	
19 Kaikoura 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3747-19-kaikoura-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:55	2011-07-19 00:06:55	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3747
1900 Thomas Ward Maps	https://koordinates.com/layer/4233-1900-thomas-ward-maps/	dataset	Wellington City Council	Koordinates	support@koordinates.com		<p>Thomas Ward - Authorised Surveyors: Map of the City of Wellington - January 1891- clipped, georeferenced and rectified in July 2011<br /></p><p>Thomas Ward, a licensed surveyor and civil engineer, was contracted in 1889 to produce a detailed map of Wellington central city.<br /></p><p>Over three years, Ward collected information and compiled it into scale map tiles.<br /></p><p>The maps show legal boundaries of properties and streets, buildings and what they were constructed of, street-lamp and fireplug locations.<br /></p><p>The Thomas Ward survey map provides much information about early Wellington. Where building records are not complete, the map is useful for discovering whether present-day buildings were in existence before 1892. It also hints at the nature of the late 19th century city where high-density housing is evident in some parts.<br /></p><p>The rectification of the Thomas Ward maps was completed by the GIS Operations Team at Wellington City Council.  As the scanned images had some skew, the rectification process was unable to be carried out to a high level of accuracy.  The quality of the rectification of the images also depends on the accuracy of the 2011 cadastre vector data which was used as base data as well as the content coverage of the maps to find sufficient and reliable reference points.<br />Please note that a best-fit recitfication over each individual map sheet was attempted, so generally the whole sheet is located correctly, but accuracy of features at any particular location may be slightly misaligned.<br /></p><p>The geofereferenced Thomas Ward maps should only be used as a guide as to the location of historic features.<br /></p>	kml/shp,other geo	Other-Unknown	Yes	a download and/or courier fee applies.	Feed	Creative Commons Attribution 3.0 licence		2012-08-15 13:53:40		2012-05-13 22:11:05	2012-05-13 22:11:05	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:4233
1996 Census data	http://www.stats.govt.nz/Census/1996-census-data.aspx	dataset	Statistics New Zealand	Statistics New Zealand Information Centre	info@stats.govt.nz	0508 525 525	Every five years Statistics New Zealand makes an official count of the population and dwellings in New Zealand. Statistics New Zealand conducted the 1996 Census of Population and Dwellings on Tuesday, 5 March 1996.	CSV,Spreadsheet,PDF,Other	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2012-03-26 11:46:00	2015-06-15 00:00:00	2006-12-01 00:00:00		
20 Martins Bay 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3749-20-martins-bay-15m-dem-nzsosdem-v10/	dataset	University of Otago - National School of Surveying	Koordinates	support@koordinates.com		<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution-Share Alike 3.0 licence		2011-08-16 14:11:39		2011-07-19 00:06:55	2011-07-19 00:06:55	tag:koordinates.com,2010-07:feed:data.govt.nz:layer:3749
200 Mile Exclusive Economic Zone Outer Limits	https://data.linz.govt.nz/layer/842-200-mile-exclusive-economic-zone-outer-limits/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>New Zealand Exclusive Economic Zone<br /></p><p>The exclusive economic zone (EEZ) is a zone extending from the outer limits of the territorial sea to a distance of 200 nautical miles from the baselines of the territorial sea in which New Zealand, as the coastal state, has sovereign rights over the living and non living resources of the sea and seabed and other states have certain freedoms, including the freedoms of navigation and overflight.<br /></p><p>Maritime Boundary Definitions:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries/definitions#zones">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a><br /></p><p>Further References:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:36		2015-06-03 11:36:05	2011-07-26 11:55:52	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:842
2001 Census data	http://www.stats.govt.nz/Census/2001-census-data.aspx	dataset	Statistics New Zealand	Statistics New Zealand Information Centre	info@stats.govt.nz	0508 525 525	Every five years Statistics New Zealand makes an official count of the population and dwellings in New Zealand. Statistics New Zealand conducted the 2001 Census of Population and Dwellings on Tuesday, 6 March 2001.	Spreadsheet,HTML,PDF	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2012-03-26 11:43:52		2001-03-06 00:00:00		
2006 Census Areas File	http://www.stats.govt.nz/Census/2006CensusHomePage/~/link.aspx?_id=8816FBAFCD7A4F43B91D8950E33B2BE1&_z=z#2006	dataset	Statistics New Zealand		info@stats.govt.nz	0508 525 525	The Areas file is an electronic list that classifies meshblocks into larger geographic areas, such as area units, territorial authorities and regional councils. The Areas file, also known as a concordance file, provides a mapping of the geographic hierarchies so you can see how the various geographic boundaries link together.For each meshblock, there is a series of codes that link to any meshblock-defined geographic areas. All areas are set as at 1 January of the specified year. Concordance files are available from differing years, to enable data for the same area classification to be compared over time. A concordance file is useful to geographic information system (GIS) users.	CSV	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2010-10-15 13:11:17		2011-08-26 00:00:00		
2006 Census Meshblock Dataset	http://www.stats.govt.nz/Census/2006CensusHomePage/MeshblockDataset.aspx	dataset	Statistics New Zealand		info@stats.govt.nz	0508 525 525	The 2006 Census Meshblock dataset contains counts starting at the meshblock level for selected variables from the 2006, 2001 and 1996 Census of Population and Dwellings, rebased to 2006 Census boundaries. These counts are at the highest level of each variable’s classification. The dataset also contains counts for area units, wards, territorial authorities, and regional council areas.	CSV,Spreadsheet	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2011-08-26 11:40:47		2012-03-22 17:02:58	2011-08-26 00:00:00	
2006 Census data	http://www.stats.govt.nz/Census/2006CensusHomePage.aspx	dataset	Statistics New Zealand	Statistics New Zealand Information Centre	info@stats.govt.nz	0508 525 525	Every five years Statistics New Zealand makes an official count of the population and dwellings in New Zealand. Statistics New Zealand conducted the 2006 Census of Population and Dwellings on Tuesday, 7 March 2006.	Spreadsheet,HTML,PDF	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2012-03-26 11:41:59		2006-03-07 00:00:00		
2006/07 Gaming and Betting Activities Survey Data Tables	http://archive.hsc.org.nz/publications/2012/200607-GBAS-Data-Tables.html?destination=%2Fresearchpublications.html	dataset	Health Promotion Agency	Miranda Devlin	research@healthpromotion.org.nz	04 4725777	These are tables of figures from the 2006/07 Gaming and Betting Activities Survey.	OTHER	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2012-05-15 09:18:38		2012-05-14 00:00:00	2012-05-14 00:00:00	
2007 New Zealand Children’s Food and Drink Survey Data Tables	http://archive.hsc.org.nz/publications/2012/2007-CFDS-Data-Tables.html?destination=%2Fresearchpublications.html	dataset	Health Promotion Agency	Miranda Devlin	research@healthpromotion.org.nz	04 4725777	The 2007 New Zealand Children’s Food and Drinks Survey is a nationwide survey of parents and caregivers of children aged 5 to 16 years. It is designed to benchmark knowledge, attitudes and views about healthy eating, and the extent to which they already use, or feel confident they can use, a range of tips (strategies) to help parents and caregivers provide healthy diets for their children.	PDF,OTHER	Other-Unknown	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2012-03-30 12:48:30		2012-03-30 00:00:00	2012-03-30 00:00:00	
2009–2010 ‘Face the Facts’ Campaign Survey Data Tables	http://archive.hsc.org.nz/publications/2012/2009-2010-FTF-Survey-Tables	dataset	Health Promotion Agency	Miranda Devlin	research@healthpromotion.org.nz	04 4725777	These are tables of figures from the 2009 ‘Face the Facts’ Campaign Benchmark Survey and the 2010 ‘Face the Facts’ Campaign Follow-up Survey.Face the Facts, which ran between 2009 and 2011, was an education initiative to inform New Zealanders about the facts surrounding tobacco use. It was designed to complement existing tobacco control initiatives and priorities and supported quit smoking messages.	OTHER	Other-Unknown	No		Manual	Creative Commons Attribution-No Derivative Works 3.0 New Zealand licence		2012-06-22 14:41:45		2012-06-22 00:00:00	2012-06-22 00:00:00	
